,日期,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,107年11月01日,3.40,106,17.38,4.10,107/2
1,107年11月02日,3.38,106,17.45,4.12,107/2
2,107年11月05日,3.40,106,17.34,4.09,107/2
3,107年11月06日,3.41,106,17.31,4.08,107/2
4,107年11月07日,3.42,106,17.27,4.07,107/2
5,107年11月08日,3.38,106,17.45,4.12,107/2
6,107年11月09日,3.46,106,17.05,4.02,107/2
7,107年11月12日,3.46,106,17.08,4.03,107/2
8,107年11月13日,3.52,106,16.79,3.96,107/2
9,107年11月14日,3.50,106,16.90,3.76,107/3
10,107年11月15日,3.46,106,17.09,3.80,107/3
11,107年11月16日,3.54,106,16.72,3.72,107/3
12,107年11月19日,3.60,106,16.42,3.65,107/3
13,107年11月20日,3.67,106,16.12,3.59,107/3
14,107年11月21日,3.65,106,16.20,3.60,107/3
15,107年11月22日,3.65,106,16.20,3.60,107/3
16,107年11月23日,3.66,106,16.16,3.60,107/3
17,107年11月26日,3.59,106,16.49,3.67,107/3
18,107年11月27日,3.57,106,16.57,3.69,107/3
19,107年11月28日,3.53,106,16.75,3.73,107/3
